group;nome;noun.artifact;noun.cognition;noun.act;noun.state;noun.communication;noun.relation;noun.attribute;noun.substance;noun.food;noun.object;noun.phenomenon;noun.possession;noun.group;noun.feeling;noun.person;noun.time;noun.animal;noun.event;noun.plant;noun.location;noun.shape;noun.body;noun.process;noun.quantity;noun.motive;distance_to_cluster;ID;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;cluster;Dim 1_centro;Dim 2_centro;Dim 3_centro;Dim 4_centro;Dim 5_centro
Analitico;abitudine;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.138660893113934;1;-0.195697782756826;-0.0844129944521853;-0.0990067794009238;-0.0226932833892475;0.113150732878591;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;accordo;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.728690795099572;2;-0.557452509534944;0.173332836414564;-0.284429160979711;0.499081410463165;0.22639159705633;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico&Sintetico;acqua;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114.243.046.869.043;3;0.555462018046049;0.123234163487276;115.075.826.163.464;-0.337178616641309;0.0854151213481074;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico;addio;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.324728262414128;4;-0.148119972957011;-0.0446002784730637;-0.265594537408985;-0.217404249050889;0.0627615026628836;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;affare;1;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0.510816228034283;5;-0.150388495811626;0.247532695612364;-0.267262603757995;-0.321955091071415;0.240935581139696;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;agente;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.420181611659177;6;0.357748275917082;-0.347548791808635;0.197676441992833;-0.121864593651806;-0.0220286958187863;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Analitico;agricoltura;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.255967058374533;7;-0.0804686949053053;-0.135523970711951;-0.0789900600577459;-0.189537561907284;0.0194560937084416;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Analitico;aiuto;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0.396524864986675;8;-0.002218509734787;-0.256036775289878;-0.116581507362488;-0.248283518131116;-0.22571915983668;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
Sintetico;ala;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0.39187320175342;9;0.488780390962791;-0.0725366098545787;-0.0429949402989651;-0.0561278244410526;-0.056359522477213;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Sintetico;alba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0.393344329133139;10;-0.25496487653913;-0.00793915649174523;0.147661216164418;-0.136548928914648;-0.294220246209472;1;-0.196852617172649;-0.000929919372101417;-0.021608469145203;-0.015341527925229;0.0343374150131737
Sintetico;albergo;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.308700357902401;11;0.163424925190276;-0.020844799593214;-0.0792347562414834;-0.0915736098490738;0.0450132793474662;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Sintetico;albero;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0.513497871199047;12;0.363586461102209;0.0470921445099781;0.155117848311236;-0.113213184326753;0.525602597142716;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Sintetico;ambiente;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0.39717239565055;13;0.0425890847064208;0.344222138378351;0.074243726575311;0.029375734637439;-0.228225017791017;3;0.270981596186198;0.196711085241195;0.095148931250677;-0.0151444734554311;0.0570891691292495
Analitico;americano;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0.223652228033459;14;0.127262600481517;-0.263987870585639;-0.277767895937407;0.0342932786491605;-0.188912825351422;2;0.212096760508186;-0.323002070097114;-0.085150037927765;0.0766500936705198;-0.210009499258541
