Var1;Var2;nome;added;sinonimia;Column1;Column2;
fare acqua;sciacquare;acqua;;;fare;;
mettere in acqua;sciacquare;acqua;;;mettere;;
dare amore;amoreggiare;amore;;;dare;;
dare amore;innamorare;amore;;;dare;;
essere in amore;amoreggiare;amore;;;essere;;
essere in amore;innamorare;amore;;;essere;;
fare da anello;inanellare;anello;;;fare;;
dare anima;animare;anima;;;dare;;
avere il argomento;argomentare;argomento;;;avere;;
dare aria;arieggiare;aria;;;dare;;
prendere aria;arieggiare;aria;;;prendere;;
mettere in arma;armare;arma;;y;mettere;c;
mettere in arma;armeggiare;arma;;;mettere;;
avere attenzione;attenzionare;attenzione;;;avere;;
dare attenzione;attenzionare;attenzione;;;dare;;
fare attenzione;attenzionare;attenzione;;;fare;;
avere in atto;atteggiare;atto;;;avere;;
dare atto;atteggiare;atto;;;dare;;
mettere in atto;atteggiare;atto;;;mettere;;
prendere atto;atteggiare;atto;;;prendere;;
andare in azione;azionare;azione;;;andare;;
mandare in azione;azionare;azione;;y;mandare;c;
mettere in azione;azionare;azione;;y;mettere;c;
dare il bacio;baciare;bacio;;y;dare;c;
dare un bacio;baciare;bacio;;y;dare;c;
andare in bagno;bagnare;bagno;;;andare;;
mettere a bagno;bagnare;bagno;;;mettere;;
fare la barba;barbare;barba;;;fare;;
fare la barba;sbarbare;barba;;y;fare;p;
avere una base;basare;base;;y;avere;c;
andare in battaglia;battagliare;battaglia;;y;andare;c;
dare battaglia;battagliare;battaglia;;y;dare;c;
fare la battaglia;battagliare;battaglia;;y;fare;c;
mandare in battaglia;battagliare;battaglia;;;mandare;;
avere bisogno;bisognare;bisogno;;y;avere;c;
avere bisogno;abbisognare;bisogno;;y;avere;p;
mettere bocca;boccare;bocca;;;mettere;;
mettere bocca;abboccare;bocca;;;mettere;;
mettere bocca;imboccare;bocca;;;mettere;;
mettere bocca;sboccare;bocca;;;mettere;;
mettere bocca;boccheggiare;bocca;;;mettere;;
mettere in bocca;boccare;bocca;1;0;;mettere;
mettere in bocca;abboccare;bocca;1;0;;mettere;
mettere in bocca;imboccare;bocca;1;0;y;mettere;p
mettere in bocca;sboccare;bocca;1;0;;mettere;
mettere in bocca;boccheggiare;bocca;1;0;;mettere;
avere a bordo;bordare;bordo;;;avere;;
avere a bordo;abbordare;bordo;;;avere;;
avere a bordo;bordeggiare;bordo;;;avere;;
essere a bordo;bordare;bordo;;;essere;;
essere a bordo;abbordare;bordo;;;essere;;
essere a bordo;bordeggiare;bordo;;;essere;;
prendere a bordo;bordare;bordo;;;prendere;;
prendere a bordo;abbordare;bordo;;;prendere;;
prendere a bordo;bordeggiare;bordo;;;prendere;;
mettere in bottiglia;imbottigliare;bottiglia;;y;mettere;p;
dare il calcio;calciare;calcio;;y;dare;c;
dare un calcio;calciare;calcio;;y;dare;c;
dare il calcio;scalciare;calcio;;y;dare;p;
dare un calcio;scalciare;calcio;;y;dare;p;
dare il calcio;calcificare;calcio;;;dare;;
dare un calcio;calcificare;calcio;;;dare;;
fare calcio;calciare;calcio;;;fare;;
fare calcio;scalciare;calcio;;;fare;;
fare calcio;calcificare;calcio;;;fare;;
prendere a calcio;calciare;calcio;;y;prendere;c;
prendere a calcio;scalciare;calcio;;y;prendere;p;
prendere a calcio;calcificare;calcio;;;prendere;;
mettere in cammino;camminare;cammino;;y;mettere;c;
mettere in cammino;incamminare;cammino;;;mettere;;
avere campo;campare;campo;;;avere;;
avere campo;campare;campo;;;avere;;
avere campo;campire;campo;;;avere;;
avere campo;campire;campo;;;avere;;
avere campo;accampare;campo;;;avere;;
avere campo;scampare;campo;;;avere;;
avere campo;campeggiare;campo;;;avere;;
avere campo;campeggiare;campo;;;avere;;
dare il campo;campare;campo;;;dare;;
dare il campo;campare;campo;;;dare;;
dare il campo;campire;campo;;;dare;;
dare il campo;campire;campo;;;dare;;
dare il campo;accampare;campo;;;dare;;
dare il campo;scampare;campo;;;dare;;
dare il campo;campeggiare;campo;;;dare;;
dare il campo;campeggiare;campo;;;dare;;
mettere in campo;campare;campo;;;mettere;;
mettere in campo;campare;campo;;;mettere;;
mettere in campo;campire;campo;;;mettere;;
mettere in campo;campire;campo;;;mettere;;
mettere in campo;accampare;campo;;y;mettere;p;
mettere in campo;scampare;campo;;;mettere;;
mettere in campo;campeggiare;campo;;;mettere;;
mettere in campo;campeggiare;campo;;;mettere;;
fare il capitano;capitanare;capitano;;y;fare;c;
avere a capo;capeggiare;capo;;;avere;;
essere a capo;capeggiare;capo;;y;essere;s;
mettere a capo;capeggiare;capo;;;mettere;;
venire a capo;capeggiare;capo;;;venire;;
avere carattere;caratterizzare;carattere;;;avere;;
dare carattere;caratterizzare;carattere;;y;dare;s;
andare in carcere;carcerare;carcere;;;andare;;
andare in carcere;incarcerare;carcere;;;andare;;
andare in carcere;scarcerare;carcere;;;andare;;
essere in carcere;carcerare;carcere;;;essere;;
essere in carcere;incarcerare;carcere;;;essere;;
essere in carcere;scarcerare;carcere;;;essere;;
mandare in carcere;carcerare;carcere;;y;mandare;c;
mandare in carcere;incarcerare;carcere;;y;mandare;p;
mandare in carcere;scarcerare;carcere;;;mandare;;
mettere in carcere;carcerare;carcere;;y;mettere;c;
mettere in carcere;incarcerare;carcere;;y;mettere;p;
mettere in carcere;scarcerare;carcere;;;mettere;;
mettere su carta;incartare;carta;;;mettere;;
mettere su carta;scartare;carta;;;mettere;;
mettere su carta;scartare;carta;;;mettere;;
andare a casa;accasare;casa;;;andare;;
fare da casa;accasare;casa;;;fare;;
essere in catena;incatenare;catena;;;essere;;
essere in catena;scatenare;catena;;;essere;;
mettere in catena;incatenare;catena;1;0;y;mettere;p
mettere in catena;scatenare;catena;1;0;;mettere;
mettere la catena;incatenare;catena;;;mettere;;
mettere la catena;scatenare;catena;;;mettere;;
essere causa;causare;causa;;y;essere;c;
fare causa;causare;causa;;;fare;;
fare una causa;causare;causa;;;fare;;
andare a cavallo;accavallare;cavallo;;;andare;;
andare a cavallo;scavallare;cavallo;;;andare;;
andare a cavallo;scavallare;cavallo;;;andare;;
andare a cavallo;scavallare;cavallo;;;andare;;
essere a cavallo;accavallare;cavallo;;;essere;;
essere a cavallo;scavallare;cavallo;;;essere;;
essere a cavallo;scavallare;cavallo;;;essere;;
essere a cavallo;scavallare;cavallo;;;essere;;
andare a cena;cenare;cena;;y;andare;c;
essere a cena;cenare;cena;;y;essere;c;
fare una cena;cenare;cena;;y;fare;c;
fare centro;centrare;centro;;y;fare;c;
fare centro;accentrare;centro;;;fare;;
fare centro;incentrare;centro;;;fare;;
mettere in cima;cimare;cima;;;mettere;;
mettere in coda;accodare;coda;;;mettere;;
mettere in coda;scodare;coda;;;mettere;;
mettere in coda;scodare;coda;;;mettere;;
avere colore;colorare;colore;;;avere;;
avere colore;colorire;colore;;;avere;;
avere colore;scolorare;colore;;;avere;;
avere colore;scolorire;colore;;;avere;;
dare colore;colorare;colore;;y;dare;c;
dare colore;colorire;colore;;y;dare;c;
dare colore;scolorare;colore;;;dare;;
dare colore;scolorire;colore;;;dare;;
prendere colore;colorare;colore;;y;prendere;c;
prendere colore;colorire;colore;;y;prendere;c;
prendere colore;scolorare;colore;;;prendere;;
prendere colore;scolorire;colore;;;prendere;;
avere la colpa;incolpare;colpa;;;avere;;
fare una colpa;incolpare;colpa;;;fare;;
dare la colpa;incolpare;colpa;;y;dare;p;
andare a colpo;colpire;colpo;;;andare;;
andare a colpo;scolpire;colpo;;;andare;;
dare un colpo;colpire;colpo;;y;dare;c;
dare un colpo;scolpire;colpo;;;dare;;
fare colpo;colpire;colpo;;y;fare;c;
fare colpo;scolpire;colpo;;;fare;;
fare un colpo;colpire;colpo;;;fare;;
fare un colpo;scolpire;colpo;;;fare;;
avere in commercio;commerciare;commercio;;;avere;;
mettere in commercio;commerciare;commercio;;y;mettere;c;
fare il complimento;complimentare;complimento;;y;fare;c;
fare un complimento;complimentare;complimento;;y;fare;c;
dare una condizione;condizionare;condizione;;;dare;;
mettere in condizione;condizionare;condizione;;;mettere;;
fare una confessione;confessare;confessione;;y;fare;c;
fare una confessione;sconfessare;confessione;;;fare;;
fare da confine;confinare;confine;;;fare;;
fare da confine;sconfinare;confine;;;fare;;
dare il consiglio;consigliare;consiglio;;y;dare;c;
dare un consiglio;consigliare;consiglio;;y;dare;c;
dare il consiglio;sconsigliare;consiglio;;;dare;;
dare un consiglio;sconsigliare;consiglio;;;dare;;
andare a contatto;contattare;contatto;;;andare;;
avere contatto;contattare;contatto;;;avere;;
essere in contatto;contattare;contatto;;;essere;;
mettere a contatto;contattare;contatto;;;mettere;;
mettere in contatto;contattare;contatto;;y;mettere;c;
prendere contatto;contattare;contatto;;y;prendere;c;
venire a contatto;contattare;contatto;;y;venire;c;
venire in contatto;contattare;contatto;;y;venire;c;
essere sotto contratto;contrattare;contratto;;;essere;;
fare un contratto;contrattare;contratto;;;fare;;
mettere sotto contratto;contrattare;contratto;;;mettere;;
avere coraggio;incoraggiare;coraggio;;;avere;;
avere coraggio;scoraggiare;coraggio;;;avere;;
dare coraggio;incoraggiare;coraggio;;y;dare;p;
dare coraggio;scoraggiare;coraggio;;;dare;;
prendere coraggio;incoraggiare;coraggio;;;prendere;;
prendere coraggio;scoraggiare;coraggio;;;prendere;;
fare la corno;incornare;corno;;;fare;;
fare la corno;scornare;corno;;;fare;;
fare la corno;scornare;corno;;;fare;;
fare la corno;cornificare;corno;;y;fare;s;
mettere la corno;incornare;corno;;;mettere;;
mettere la corno;scornare;corno;;;mettere;;
mettere la corno;scornare;corno;;;mettere;;
mettere la corno;cornificare;corno;;y;mettere;s;
andare di corpo;accorpare;corpo;;;andare;;
avere in corpo;accorpare;corpo;;;avere;;
dare corpo;accorpare;corpo;;;dare;;
prendere corpo;accorpare;corpo;;;prendere;;
fare la corte;corteggiare;corte;;y;fare;s;
fare una corte;corteggiare;corte;;y;fare;s;
mettere in croce;incrociare;croce;;y;mettere;p;
mettere una croce;incrociare;croce;;;mettere;;
avere a cuore;accorare;cuore;;;avere;;
avere a cuore;scorare;cuore;;;avere;;
dare il cuore;accorare;cuore;;;dare;;
dare il cuore;scorare;cuore;;;dare;;
mettere il cuore;accorare;cuore;;;mettere;;
mettere il cuore;scorare;cuore;;;mettere;;
prendere a cuore;accorare;cuore;;;prendere;;
prendere a cuore;scorare;cuore;;;prendere;;
andare in cura;curare;cura;;;andare;;
avere cura;curare;cura;;y;avere;c;
avere in cura;curare;cura;;y;avere;c;
essere in cura;curare;cura;;;essere;;
essere sotto cura;curare;cura;;;essere;;
mettere in cura;curare;cura;;;mettere;;
prendere cura;curare;cura;;y;prendere;c;
prendere in cura;curare;cura;;y;prendere;c;
