nome;verbo;Frequency
acqua;sciacquare;149
ala;aleggiare;476
alba;albeggiare;32
albergo;albergare;24
albero;alberare;489
albero;inalberare;125
ambiente;ambientare;8808
amore;amoreggiare;112
anello;inanellare;358
angolo;angolare;2686
anima;animare;6867
architetto;architettare;644
arco;inarcare;105
argomento;argomentare;984
aria;arieggiare;61
arma;armare;5663
arma;armeggiare;89
articolo;articolare;7653
assassino;assassinare;5570
attenzione;attenzionare;7
atto;atteggiare;426
avventura;avventurare;714
azione;azionare;2101
bacio;baciare;3537
bagno;bagnare;2423
banco;sbancare;310
bandiera;imbandierare;18
bandiera;sbandierare;493
barba;barbare;11
barba;sbarbare;39
base;basare;41024
battaglia;battagliare;56
bisogno;bisognare;21131
bisogno;abbisognare;207
bocca;boccare;7
bocca;abboccare;216
bocca;imboccare;1562
bocca;sboccare;440
bocca;boccheggiare;44
bordo;bordare;449
bordo;abbordare;262
bordo;bordeggiare;24
borsa;sborsare;446
borsa;borseggiare;13
bosco;imboscare;69
bottiglia;imbottigliare;318
braccio;abbracciare;4287
braccio;imbracciare;283
braccio;sbracciarsi;6
calcio;calciare;1216
calcio;scalciare;97
calcio;calcificare;73
calma;calmare;1128
calza;calzare;355
calza;incalzare;921
calza;scalzare;440
camera;incamerare;453
camicia;incamiciare;50
camicia;scamiciare;34
cammino;camminare;5328
cammino;incamminare;484
campione;campionare;2524
campo;campare;502
campo;campare;502
campo;campire;21
campo;campire;21
campo;accampare;1135
campo;scampare;1637
campo;campeggiare;917
campo;campeggiare;917
canale;incanalare;567
canale;scanalare;303
canale;scanalare;303
canale;canalizzare;236
cane;accanire;581
canzone;canzonare;86
capitale;capitalizzare;238
capitano;capitanare;1766
capo;capeggiare;1970
cappello;scappellare;8
carattere;caratterizzare;36327
carbone;carbonare;24
carbone;carbonizzare;270
carcere;carcerare;81
carcere;incarcerare;1481
carcere;scarcerare;540
carne;incarnare;1092
carne;incarnire;19
carne;scarnire;13
carogna;incarognire;11
carrozza;carrozzare;222
carrozza;scarrozzare;24
carta;incartare;128
carta;scartare;2438
carta;scartare;2438
casa;accasare;484
catena;incatenare;635
catena;scatenare;7614
causa;causare;23869
