verbo;Frequency
usare;117749
iniziare;116255
arrivare;110892
passare;102381
partire;74912
lavorare;62196
formare;55484
finire;51289
giocare;49861
fondare;46623
popolare;41729
basare;41024
servire;40155
sposare;38597
caratterizzare;36327
colpire;35822
nominare;34402
dotare;34214
studiare;32544
ospitare;32110
inviare;31820
segnare;31044
affrontare;29126
significare;28733
terminare;28721
limitare;25458
girare;24519
accompagnare;24004
causare;23869
operare;23686
gestire;22718
assegnare;22600
intitolare;22069
interessare;21601
bisognare;21131
modificare;21130
ordinare;19938
progettare;18868
puntare;18360
sfruttare;17417
curare;16910
regolare;16832
generare;16610
insegnare;14798
favorire;14747
avviare;13679
classificare;13353
funzionare;13107
affiancare;12845
titolare;12842
apprezzare;12780
votare;12516
montare;12422
rispettare;11456
informare;11158
rischiare;11083
innamorare;10820
praticare;10423
viaggiare;10238
immaginare;9625
contattare;8953
ambientare;8808
danneggiare;8446
posizionare;8269
consigliare;8047
misurare;7829
articolare;7653
scatenare;7614
aggiornare;7386
ideare;7187
lineare;7113
figurare;6998
animare;6867
affacciare;6805
isolare;6716
premiare;6504
festeggiare;6369
sistemare;5958
documentare;5930
differenziare;5815
armare;5663
custodire;5648
sognare;5640
assassinare;5570
confinare;5458
necessitare;5456
camminare;5328
affondare;5303
stellare;5102
esaminare;5013
incentrare;4946
programmare;4919
piazzare;4854
imprigionare;4779
vociare;4577
odiare;4449
centrare;4356
pesare;4340
incrociare;4339
incoraggiare;4304
abbracciare;4287
spezzare;4234
regnare;4149
ruotare;4145
confessare;4139
inquadrare;4038
sommare;4029
impostare;4025
specificare;4012
forzare;4004
ammontare;3956
amministrare;3863
lunare;3782
formulare;3780
condizionare;3623
adoperare;3576
baciare;3537
appassionare;3367
scalare;3304
scolpire;3227
pianificare;3147
spuntare;3041
spaziare;3013
stanziare;3012
saccheggiare;2986
gradire;2976
potenziare;2925
postare;2885
fotografare;2827
accostare;2809
valorizzare;2787
giustiziare;2710
onorare;2710
angolare;2686
processare;2679
infilare;2629
campionare;2524
allineare;2520
atterrare;2501
gareggiare;2488
memorizzare;2456
avvisare;2439
scartare;2438
sfilare;2431
bagnare;2423
ragionare;2358
locare;2352
fiorire;2341
piantare;2309
impressionare;2302
ammalare;2284
fabbricare;2272
fumare;2265
colorare;2250
motivare;2225
arrabbiare;2204
sfondare;2145
azionare;2101
telefonare;2099
afferrare;2059
imparentare;2051
modellare;2022
pescare;2011
capeggiare;1970
dubitare;1955
cucinare;1863
relazionare;1859
esiliare;1831
passeggiare;1800
numerare;1787
capitanare;1766
impersonare;1738
impartire;1722
radiare;1708
impiantare;1687
avvistare;1667
scampare;1637
impugnare;1632
negoziare;1626
sterminare;1624
scoraggiare;1581
squadrare;1567
imboccare;1562
murare;1555
filmare;1551
costeggiare;1488
incarcerare;1481
quadrare;1438
entusiasmare;1433
smontare;1418
motorizzare;1379
oculare;1376
stroncare;1358
sferrare;1356
cibare;1351
rivoluzionare;1349
spartire;1299
sfumare;1294
sforzare;1290
intonare;1288
assoggettare;1257
fruttare;1249
appuntire;1238
calciare;1216
affrettare;1191
interrare;1188
sconsigliare;1173
affiorare;1166
macchiare;1150
faticare;1145
truccare;1144
affollare;1139
vergognare;1138
presenziare;1137
accampare;1135
impadronire;1128
calmare;1128
movimentare;1116
distanziare;1099
infastidire;1094
incarnare;1092
emozionare;1082
sventare;1027
meravigliare;1021
sconfinare;1014
musicare;1003
inginocchiare;995
argomentare;984
accorpare;954
corteggiare;948
assoldare;936
fiancheggiare;930
incalzare;921
campeggiare;917
filare;912
troncare;905
annoiare;894
spopolare;870
infortunare;866
