nome;SemField1;SemField2;SemField3;SemField4;SemField5;SemField6;SemField7;SemField8;SemField9
abito;noun.artifact;;;;;;;;
abitudine;noun.cognition;noun.act;;;;;;;
accordo;noun.state;noun.cognition;noun.communication;noun.relation;noun.attribute;;;;
acqua;noun.substance;noun.food;noun.object;noun.phenomenon;;;;;
addio;noun.communication;noun.act;;;;;;;
aeroplano;noun.artifact;;;;;;;;
affare;noun.act;noun.possession;noun.artifact;noun.cognition;noun.group;;;;
affetto;noun.feeling;;;;;;;;
agente;noun.person;noun.substance;;;;;;;
agosto;noun.time;;;;;;;;
agricoltura;noun.act;;;;;;;;
aiuto;noun.person;noun.possession;noun.act;;;;;;
ala;noun.animal;noun.artifact;;;;;;;
alba;noun.event;noun.time;;;;;;;
albergo;noun.artifact;;;;;;;;
albero;noun.plant;noun.artifact;;;;;;;
alleato;noun.person;noun.group;;;;;;;
allevamento;noun.act;noun.artifact;;;;;;;
alpino;;;;;;;;;
altezza;noun.person;noun.relation;noun.attribute;;;;;;
amante;noun.person;;;;;;;;
ambiente;noun.state;noun.location;noun.artifact;;;;;;
americano;noun.person;noun.communication;;;;;;;
amica;noun.person;;;;;;;;
amicizia;noun.person;noun.state;;;;;;;
amico;noun.person;;;;;;;;
amministrazione;noun.group;noun.act;;;;;;;
amore;noun.cognition;noun.feeling;noun.person;;;;;;
anello;noun.plant;noun.phenomenon;noun.artifact;;;;;;
angelo;noun.person;noun.animal;;;;;;;
angolo;noun.shape;noun.object;noun.location;noun.artifact;;;;;
anima;noun.person;noun.feeling;;;;;;;
animale;noun.animal;;;;;;;;
animo;noun.cognition;noun.attribute;;;;;;;
anno;noun.group;noun.time;;;;;;;
ansia;noun.feeling;noun.state;;;;;;;
apparecchio;noun.artifact;;;;;;;;
appartamento;noun.artifact;;;;;;;;
appetito;noun.feeling;;;;;;;;
appuntamento;noun.group;noun.act;;;;;;;
aprile;noun.time;;;;;;;;
arabo;noun.person;noun.communication;noun.animal;;;;;;
arancia;noun.food;;;;;;;;
architetto;noun.person;;;;;;;;
