verbo;tipo;processo_formativo_process;processo_formativo_schema;processo_formativo_pattern;processo_formativo_pattern_semispec;processo_formativo_vsupp;cluster;sinonimia;x;y
sciacquare;sintetico;Parasintesi+DoppioStadioDerivativo;s_are;;;;unknown;no_sinonimi;7.3717556;10.789218
aleggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;5.792742;11.316611
albeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;6.620997;11.613922
albergare;sintetico;Conversione;are;;;;unknown;no_sinonimi;5.9170256;10.916385
alberare;sintetico;Conversione;are;;;;unknown;no_sinonimi;6.574765;11.918801
inalberare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;6.111366;11.625303
ambientare;sintetico;Conversione;are;;;;unknown;no_sinonimi;5.2054687;10.223752
amoreggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;5.122324;12.087646
inanellare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;5.8634996;9.988349
angolare;sintetico;Conversione;are;;;;unknown;no_sinonimi;6.5055833;9.428796
animare;sintetico;Conversione;are;;;;unknown;no_sinonimi;5.162352;10.432053
architettare;sintetico;Conversione;are;;;;unknown;no_sinonimi;4.221057;11.016912
inarcare;sintetico;Parasintesi+DoppioStadioDerivativo;in_are;;;;unknown;no_sinonimi;7.0838284;11.601868
archeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;6.523389;12.049289
argomentare;sintetico;Conversione;are;;;;unknown;no_sinonimi;3.7071261;9.92401
arieggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;6.806697;11.618184
armare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;5.9282107;9.980031
armeggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;6.419277;11.245378
articolare;sintetico;Conversione;are;;;;unknown;no_sinonimi;5.7960916;9.466742
assassinare;sintetico;Conversione;are;;;;unknown;no_sinonimi;3.1088443;6.45714
attenzionare;sintetico;Conversione;are;;;;unknown;no_sinonimi;4.427655;9.924423
atteggiare;sintetico;Suffissazione;eggiare;;;;unknown;no_sinonimi;4.6484637;11.57452
avventurare;sintetico;Conversione;are;;;;unknown;no_sinonimi;5.7365055;11.414283
azionare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;6.3336434;9.639438
baciare;sintetico;Conversione;are;;;;unknown;ha_sinonimi;5.1864905;12.024604
